true,pred,diff
6,6,0.4552259184121239
6,6,1.4895065671908347
6,6,1.7351492568036482
6,6,0.32929882485759365
6,6,0.1957587408102886
6,6,0.04971119938680996
6,6,0.04984002353650754
6,6,0.3750928711186005
6,6,0.05040159317078295
6,6,0.9339231020204196
6,6,2.013531680159456
6,6,0.43023452196481016
6,6,0.3504087365968197
6,6,0.4165834566326838
6,6,0.23785729906143616
6,6,1.0362833732233134
6,6,0.5939598908112379
6,6,0.04952004591115969
6,6,0.2166256610500884
6,6,0.6902132041019252
6,6,4.749404778319825
6,6,0.4609047906338038
6,6,0.05119034489382951
6,6,0.2641511654718013
6,6,1.375519032136003
6,6,0.37934640200949243
